id,Species,To
3,Acanthopagrus sp.,Acanthopagrus schlegelii
6,Aluterus sp.,Aluterus monoceros
11,Arothron sp.,Arothron hispidus
25,Caranx sp.,Caranx sexfasciatus
26,Carassius spp.,Carassius auratus
27,Carassius spp.1,Carassius auratus
30,Chaetodontoplus sp.,Chaetodontoplus septentrionalis
31,Cheilodactylus sp.,Ganiistius zonatus
32,Chelidonichthys sp.,Chelidonichthys kumu
33,Chelidonichthys sp.1,Chelidonichthys kumu
38,Cociella crocodila,Cociella punctata
46,Dasyatis akajei,Hemitrygon akajei
49,Diaphus sp,Diaphus watasei
52,Dictyosoma burgeri Form a,Dictyosoma burgeri
55,Ditrema sp.,Ditrema temminckii
56,Ditrema sp.1,Ditrema temminckii
58,Eleotris sp.,Eleotris fusca
62,Epinephelus septemfasciatus,Hyporthodus septemfasciatus
63,Epinephelus sp.,Epinephelus bruneus
65,Etrumeus teres,Etrumeus micropus
68,Evynnis / Dentex,Dentex abei
69,Favonigobius gymnauchen / Acanthogobius lactipes,Favonigobius gymnauchen
70,Favonigobius sp.,Favonigobius gymnauchen
71,Gadus sp.,Gadus morhua
72,Gadus sp.1,Gadus morhua
75,Gerres sp.,Gerres oyena
80,Gymnogobius sp.,Gymnogobius opperiens
82,Gymnothorax sp.,Gymnothorax minor
83,Halichoeres poecilopterus,Parajulis poecilepterus
88,Hexagrammos sp.,Hexagrammos agrammus
89,Hexagrammos sp.1,Hexagrammos agrammus
92,Hyperoglyphe / Seriolella,Hyperoglyphe japonica
105,Lagocephalus sp.,Lagocephalus spadiceus
109,Lepidotrigla sp.,Lepidotrigla alata
110,Lepidotrigla sp.1,Lepidotrigla alata
111,Leucopsarion petersii / Priolepis boreus,Priolepis boreus
115,Luciogobius sp.,Luciogobius grandis
116,Luciogobius sp.1,Luciogobius grandis
117,Lutjanus sp.,Lutjanus russellii
126,Nannobrachium sp.,Nannobrachium fernae
133,Oncorhynchus sp.,Oncorhynchus keta
134,Oncorhynchus sp.1,Oncorhynchus keta
139,Opsariichthys platypus,Zacco platypus
140,Oryzias sp.,Oryzias latipes
144,Ostracion sp.,Ostracion immaculatus
149,Paramonacanthus sp.,Paramonacanthus japonicus
160,Pholis sp.,Pholis clemensi
161,Platycephalus sp. MAGOCHI,Platycephalus indicus
173,Psenopsis sp.,Psenopsis anomala
178,Pseudopleuronectes / Pleuronectes / Hippoglossoides,Pleuronectes yokohamae
185,Repomucenus curvicornis / Calliurichthys japonicus,Repomucenus curvicornis
186,Repomucenus sp.,Repomucenus ornatipinnis
187,Repomucenus sp.1,Repomucenus ornatipinnis
191,Rhinogobius sp.,Rhinogobius brunneus
192,Rhinogobius sp.1,Rhinogobius brunneus
193,Rhynchocypris lagowskii steindachneri,Phoxinus steindachneri
197,Salvelinus sp.2,Salvelinus japonicus
200,Saurida sp.,Saurida tumbil
201,Saurida sp.2,Saurida tumbil
203,Scomber sp.,Scomber japonicus
206,Scombrops sp.,Scombrops boops
210,Sebastes sp.,Sebastes schlegelii
211,Sebastes sp.1,Sebastes schlegelii
214,Sebastolobus sp.,Sebastolobus macrochir
218,Siganus sp.,Siganus fuscescens
225,Stephanolepis sp.,Stephanolepis cirrhifer
228,Symphurus cf microrhynchus,Symphurus microrhynchus
230,Takifugu / Lagocephalus,Lagocephalus gloveri
231,Takifugu sp.,Takifugu xanthopterus
232,Takifugu sp.1,Takifugu xanthopterus
233,Takifugu sp.3,Takifugu stictonotus
236,Thunnus sp.1,Thunnus orientalis
237,Thunnus sp.2,Thunnus maccoyii
238,Trachurus sp.,Trachurus japonicus
239,Trachurus sp.1,Trachurus japonicus
243,Tribolodon sp.,Tribolodon brandtii
245,Tridentiger sp.,Tridentiger obscurus
246,Tridentiger sp.1,Tridentiger obscurus
249,Vinciguerria / Woodsia,Vinciguerria nimbaria
